item_id,sentiment
1,0.644
2,0.424
3,0.75
4,0.454
5,0.576
6,0.403
7,0.685
8,0.501
9,0.534
10,0.425
11,0.756
12,0.699
13,0.418
14,0.656
15,0.677
16,0.538
17,0.5
18,0.565
19,0.657
20,0.8
21,0.403
22,0.446
23,0.569
24,0.436
25,0.571
26,0.578
27,0.535
28,0.637
29,0.542
30,0.46
31,0.499
32,0.766
33,0.628
34,0.603
35,0.778
36,0.762
37,0.502
38,0.594
39,0.639
40,0.629
41,0.416
42,0.403
43,0.561
44,0.536
45,0.4
46,0.604
47,0.711
48,0.651
49,0.633
50,0.625
51,0.515
52,0.54
53,0.526
54,0.404
55,0.63
56,0.77
57,0.439
58,0.659
59,0.567
60,0.686
61,0.488
62,0.467
63,0.731
64,0.791
65,0.685
66,0.596
67,0.683
68,0.738
69,0.468
70,0.712
71,0.648
72,0.402
73,0.422
74,0.469
75,0.751
76,0.488
77,0.716
78,0.652
79,0.621
80,0.705
81,0.467
82,0.414
83,0.474
84,0.442
85,0.498
86,0.447
87,0.777
88,0.607
89,0.797
90,0.713
91,0.563
92,0.575
93,0.537
94,0.454
95,0.409
96,0.731
97,0.53
98,0.739
99,0.526
100,0.569
101,0.72
102,0.688
103,0.793
104,0.596
105,0.537
106,0.579
107,0.696
108,0.623
109,0.546
110,0.786
111,0.488
112,0.732
113,0.405
114,0.606
115,0.657
116,0.585
117,0.603
118,0.488
119,0.741
120,0.525
121,0.769
122,0.589
123,0.625
124,0.548
125,0.575
126,0.635
127,0.681
128,0.433
129,0.584
130,0.705
131,0.544
132,0.675
133,0.674
134,0.602
135,0.748
136,0.423
137,0.61
138,0.438
139,0.633
140,0.713
141,0.768
142,0.714
143,0.565
144,0.662
145,0.773
146,0.473
147,0.568
148,0.363
149,0.735
150,0.417
151,0.509
152,0.433
153,0.665
154,0.489
155,0.432
156,0.474
157,0.715
158,0.516
159,0.756
160,0.636
161,0.495
162,0.754
163,0.632
164,0.656
165,0.518
166,0.409
167,0.4
168,0.505
169,0.439
170,0.432
171,0.413
172,0.476
173,0.561
174,0.637
175,0.77
176,0.599
177,0.76
178,0.773
179,0.685
180,0.73
181,0.784
182,0.48
183,0.685
184,0.416
185,0.487
186,0.507
187,0.411
188,0.701
189,0.591
190,0.766
191,0.766
192,0.588
193,0.465
194,0.432
195,0.403
196,0.499
197,0.442
198,0.579
199,0.643
200,0.759
201,0.779
202,0.615
203,0.736
204,0.437
205,0.784
206,0.606
207,0.789
208,0.581
209,0.605
210,0.464
211,0.707
212,0.528
213,0.665
214,0.746
215,0.703
216,0.789
217,0.592
218,0.332
219,0.592
220,0.766
221,0.408
222,0.407
223,0.455
224,0.562
225,0.709
226,0.589
227,0.501
228,0.708
229,0.797
230,0.69
231,0.716
232,0.639
233,0.499
234,0.667
235,0.408
236,0.493
237,0.735
238,0.488
239,0.404
240,0.592
241,0.7
242,0.626
243,0.762
244,0.518
245,0.636
246,0.491
247,0.504
248,0.752
