item_id,title,mf_pred_avg,sentiment
169,"Wrong Trousers, The (1993)",4.630980119132255,0.439
318,Schindler's List (1993),4.599166382818695,0.573
408,"Close Shave, A (1995)",4.57747664673823,0.61
1449,Pather Panchali (1955),4.473902483366304,0.621
515,"Boot, Das (1981)",4.465179084639651,0.666
603,Rear Window (1954),4.462831044680677,0.64
480,North by Northwest (1959),4.437120700707543,0.442
657,"Manchurian Candidate, The (1962)",4.408877115823434,0.468
64,"Shawshank Redemption, The (1994)",4.381174599139242,0.791
114,Wallace & Gromit: The Best of Aardman Animation (1996),4.380261190413824,0.606
